0.5257526654407125,
-0.15921942426357072,
0.43542892639377184,
-0.1892655462281072,
-0.2834389344969874,
0.022390552173130074,
-0.06084384869839532,
-0.026939775545187186,
-0.03688756457619073,
0.07304285062689014,
0.04103834810753276,
0.010362935711272336,
0.023607827356969202,
0.03002295800237975,
-0.07365808109358973,
0.030025479479906525,
0.025931447327130375,
0.02007769044890284,
-0.011162974219265598,
0.00484496269797785,
-0.024990759960483944,
-0.01322203197759797,
0.03120242739285395,
0.01853802656693393,
-0.04280840993600976,
0.00859958275697359,
0.009871467691978664,
-0.030794822628909646,
-0.0034866137937006325,
0.007698627055662932,
0.016918976264033603,
0.0027303908872602367,
0.009976073097320182,
-0.0041146746374050025,
-0.037626200742642446,
0.01534937646865675,
-0.02582522683111499,
0.021109668215457233,
-0.01792574752053877,
0.024069889740224504,
-0.013037650157547986,
0.024857027295746015,
-0.01050411030229359,
-0.045052275735635305,
-0.009831140313272257,
0.021677941149114588,
-0.010641132637259965,
0.01834486775207944,
-0.012641364253095144,
0.014156845089084324,
